text	audience	factual	dependency	count	surfaces	sources	states
[head]	GUEST/PUBLIC	no		74	/ (index.html) | /accommodation | /destination | /dress | /experience?id=bkk-alati | /experience?id=bkk-barus | /experience?id=bkk-commons | /experience?id=bkk-curvy | /experience?id=bkk-dib | /experience?id=bkk-diorlv | /experience?id=bkk-dusit | /experience?id=bkk-emquartier | /experience?id=bkk-harudot | /experience?id=bkk-iconsiam | /experience?id=bkk-igniv | /experience?id=bkk-letsrelax | /ex	accommodation.html | destination.html | dress.html | experience.html · assets/experiences.js · assets/experience-galleries.js | index.html | room.html · assets/rooms-data.js | transport.html · assets/	AUTHENTICATED PRIVATE STATE · SIGNED IN · a guest with an em | SIGNED-OUT PUBLIC STATE · DEFAULT · signed out | SIGNED-OUT PUBLIC STATE · DEFAULT · signed out · 390 px
[page title] See You In Laos	ACCESSIBILITY	no		1	/ (index.html)	index.html	SIGNED-OUT PUBLIC STATE · DEFAULT · signed out · 390 px
USES G-001 (header)	PUBLIC	no		45	/ (index.html) | /accommodation | /destination | /experience?id=bkk-alati | /experience?id=bkk-barus | /experience?id=bkk-commons | /experience?id=bkk-curvy | /experience?id=bkk-dib | /experience?id=bkk-diorlv | /experience?id=bkk-dusit | /experience?id=bkk-emquartier | /experience?id=bkk-harudot | /experience?id=bkk-iconsiam | /experience?id=bkk-igniv | /experience?id=bkk-letsrelax | /experience?	accommodation.html | destination.html | experience.html | experience.html · assets/experiences.js · assets/experience-galleries.js | experiences.html | index.html | voyage.html	SIGNED-OUT PUBLIC STATE · DEFAULT · signed out | SIGNED-OUT PUBLIC STATE · DEFAULT · signed out · 390 px | SIGNED-OUT PUBLIC STATE · UNKNOWN ID
[page]	GUEST/PUBLIC	no		120	/ (index.html) | /1872 | /about-you | /accommodation | /cart | /destination | /dress | /experience?id=bkk-alati | /experience?id=bkk-barus | /experience?id=bkk-commons | /experience?id=bkk-curvy | /experience?id=bkk-dib | /experience?id=bkk-diorlv | /experience?id=bkk-dusit | /experience?id=bkk-emquartier | /experience?id=bkk-harudot | /experience?id=bkk-iconsiam | /experience?id=bkk-igniv | /expe	1872.html | about-you.html | about-you.html · assets/guest.js · assets/docs.js | accommodation.html | assets/prep-shell.js gate() | assets/prep-shell.js leave("another") | cart.html | destination.html	AUTHENTICATED PRIVATE STATE · ADDED TO YOUR JOURNEY · the co | AUTHENTICATED PRIVATE STATE · CEREMONY · CHAIR TAPPED (E4 se | AUTHENTICATED PRIVATE STATE · CEREMONY · CHANGING · current  | AUTHENTICATED PRIVATE STATE · CONFIRMED BY GUEST RELATIONS | AUTHENTICATED PRIVATE STATE · LOCKED · the gate la
[aria-label] The courtyard at Souphattra Heritage, Vientiane, at dusk	ACCESSIBILITY	yes	venue / property names (Operations Master Overview)	1	/ (index.html)	index.html	SIGNED-OUT PUBLIC STATE · DEFAULT · signed out · 390 px
Sunday, 28 February 2027 · Vientiane, Laos	GUEST/PUBLIC	yes	dates (brief §2 · Overview_Hotel_Restaurant)	3	/ (index.html) | /invitation | /voyage	index.html | invitation.html · assets/prep-shell.js · assets/guest.js | voyage.html	AUTHENTICATED PRIVATE STATE · SIGNED IN · Peggy · nothing gi | SIGNED-OUT PUBLIC STATE · DEFAULT · signed out · 390 px
One invitation. Three countries. One journey.	PUBLIC	no		1	/ (index.html)	index.html	SIGNED-OUT PUBLIC STATE · DEFAULT · signed out · 390 px
Your Invitation	GUEST/PUBLIC	no		13	/ (index.html) | /about-you · VIEW ALL STEPS | /accommodation | /destination | /experiences | /invitation | /invitation · VIEW ALL STEPS | /invitation · the code prompt | /invitation · the leave actions | /voyage	accommodation.html | assets/invite.mjs | assets/prep-shell.js | destination.html | experiences.html | index.html | invitation.html · assets/prep-shell.js · assets/guest.js | voyage.html	AUTHENTICATED PRIVATE STATE · EMPTY CODE submitted | AUTHENTICATED PRIVATE STATE · SIGNED IN · Peggy · nothing gi | AUTHENTICATED PRIVATE STATE · STEPS INDEX OPEN · 01–05 compl | AUTHENTICATED PRIVATE STATE · STEPS INDEX OPEN · 05 current  | AUTHENTICATED PRIVATE STATE · STEPS INDEX OPEN · OPEN ANOT
Thailand, Laos and China — prepared around you.	PUBLIC	no		1	/ (index.html)	index.html	SIGNED-OUT PUBLIC STATE · DEFAULT · signed out · 390 px
21 February – 8 March 2027. Bangkok before the wedding, Vientiane at its heart, Kunming and Lijiang after — then two final nights back in Bangkok. The complete journey opens with the private code from your invitation.	PUBLIC	yes	dates (brief §2 · Overview_Hotel_Restaurant)	1	/ (index.html)	index.html	SIGNED-OUT PUBLIC STATE · DEFAULT · signed out · 390 px
Discover the journey	PUBLIC	no		1	/ (index.html)	index.html	SIGNED-OUT PUBLIC STATE · DEFAULT · signed out · 390 px
[aria-label] Destinations	ACCESSIBILITY	no		1	/ (index.html)	index.html	SIGNED-OUT PUBLIC STATE · DEFAULT · signed out · 390 px
Destinations	PUBLIC	no		3	/ (index.html) | / · the site menu | /destination	assets/aman.js buildMenu() | destination.html | index.html	SIGNED-OUT PUBLIC STATE · DEFAULT · signed out · 390 px | SIGNED-OUT PUBLIC STATE · MENU OPEN · every group expanded
Three countries, one continuous journey.	PUBLIC	no		2	/ (index.html) | /destination	destination.html | index.html	SIGNED-OUT PUBLIC STATE · DEFAULT · signed out · 390 px
Each chapter has its own city, its own days and its own light.	PUBLIC	no		1	/ (index.html)	index.html	SIGNED-OUT PUBLIC STATE · DEFAULT · signed out · 390 px
